ACCURA	命中率
HELP26	按~h~~k~~VEHICLE_ENTER_EXIT~~w~进出载具。
HELP27	按~h~~k~~VEHICLE_TURRETUP~~w~和~h~~k~~VEHICLE_TURRETDOWN~~w~来调整你在摩托车上的重心。
HELP28	按~h~~k~~VEHICLE_TURRETUP~~w~和~h~~k~~VEHICLE_TURRETDOWN~~w~来调整你在摩托车上的重心。
HELP29	非任务时段，可随时前往时装店更换衣物。
HELP2A2	按~h~~k~~PED_SPRINT~~w~~h~冲刺~w~。
HELP2_A	按~h~~k~~PED_SPRINT~~w~~h~冲刺~w~。
HELP3	你只能冲刺一小段时间，否则会很疲劳。
HELP30	更换新衣物可减少至多两颗警星。
HELP31	想在车内射击的话，得先按~h~~k~~VEHICLE_LOOKLEFT~~w~向左看，或者按~h~~k~~VEHICLE_LOOKRIGHT~~w~向右看。
HELP32	然后按~h~~k~~PED_FIREWEAPON~~w~开火。
HELP33	然后按~h~~k~~PED_FIREWEAPON~~w~开火。
HELP34	想要在车内射击，就必须得有一把冲锋枪。
HELP35	按下~h~~k~~GO_LEFT~~w~和~h~~k~~GO_RIGHT~~w~控制方向。
HELP36	按下~h~~k~~GO_LEFT~~w~和~h~~k~~GO_RIGHT~~w~控制方向。
HELP37	当你劫车时，按下~h~~k~~PED_SPRINT~~w~停止劫车.
HELP42	跟随~q~粉色标记点~w~的指示前往旅馆。
HELP43	~g~进入~h~海景旅馆~w~（Ocean View）。
HELP44	在~q~粉色标记点~w~处停下载具。
HELP45	按下~h~~k~~PED_DUCK~~w~蹲下。此举可提高你的武器命中率。
HELP46	武器种类分八种，
HELP47	每种种类的武器只可携带一把，比如一把手枪，一把霰弹枪…
HELP4_A	按下~h~~k~~VEHICLE_ACCELERATE~~w~加速。
HELP4_D	按下右摇杆~h~加速。
HELP50	按下~h~~k~~PED_ANSWER_PHONE~~w~把视觉调整到镜头后方。
HELP51	按下~h~~k~~PED_ANSWER_PHONE~~w~把视觉调整到镜头后方。
HELP52	按下~h~~k~~PED_ANSWER_PHONE~~w~把视觉调整到镜头后方。
HELP53	按下~h~~k~~PED_CYCLE_WEAPON_LEFT~~w~切换到上个武器，或按下~h~~k~~PED_CYCLE_WEAPON_RIGHT~~w~切换到下个武器。
HELP54	~w~价格：$~1~ ~r~购买此武器，将会替换掉你持有的同类武器。
HELP55	按下~h~~k~~PED_FIREWEAPON~~w~攻击里欧·提尔！
HELP56	按下~h~~k~~CAMERA_CHANGE_VIEW_ALL_SITUATIONS~~w~更改镜头模式。
HELP57	按下~h~~k~~CAMERA_CHANGE_VIEW_ALL_SITUATIONS~~w~更改镜头模式。
HELP58	瞄准时，按~h~~k~~PED_CYCLE_TARGET_LEFT~和~k~~PED_CYCLE_TARGET_RIGHT~ ~w~循环切换目标。
HELP59	瞄准时，按~h~~k~~PED_CYCLE_TARGET_LEFT~和~k~~PED_CYCLE_TARGET_RIGHT~ ~w~循环切换目标。
HELP5_A	按下~h~~k~~VEHICLE_BRAKE~~w~刹车，或当载具停止时此为倒退。
HELP5_D	按右扳机键制动，或当载具停止时此为倒退。
HELP60	如果你在劫车时按~w~~k~~PED_SPRINT~~w~，你将不会进入载具里。
HELP61	托马斯·“汤米”·维赛迪获得了无限弹药和载具耐久双倍的奖励！
HELP6_A	按~h~~k~~VEHICLE_HANDBRAKE~~w~使用~h~手刹。
HELP6_C	按~h~~k~~VEHICLE_HANDBRAKE~~w~使用~h~手刹。
HELP6_D	按~h~~k~~VEHICLE_HANDBRAKE~~w~使用~h~手刹。
HELP7_A	手持狙击枪时，按住~h~ ~k~~PED_LOCK_TARGET~~w~~h~瞄准。
HELP7_D	手持狙击枪时，按住~h~ ~k~~PED_LOCK_TARGET~~w~~h~瞄准。
HELP8_A	使用狙击枪瞄准时，按下~h~ ~k~~PED_SNIPER_ZOOM_IN~~w~~h~放大~w~，按下~h~ ~k~~PED_SNIPER_ZOOM_OUT~~w~~h~缩小~w~。
HELP8_B	使用狙击枪瞄准时，按下~h~ ~k~~PED_SNIPER_ZOOM_IN~~w~~h~放大~w~，按下~h~ ~k~~PED_SNIPER_ZOOM_OUT~~w~~h~缩小~w~。
HELP9_A	使用狙击枪瞄准后，按下~h~ ~k~~PED_FIREWEAPON~~w~~h~开火~w~。
HELP9_B	使用狙击枪瞄准后，按下~h~ ~k~~PED_FIREWEAPON~~w~~h~开火~w~。
HELP9_C	当你使用狙击枪瞄准后，按下~h~ ~k~~PED_FIREWEAPON~~w~~h~开火~w~。
HEL_DST	飞机和直升机的摧毁总数
HERMES	Hermes
HEY	~g~别太浪了！团结在一起！
HJSTAT	距离：~1~.~1~米 高度：~1~.~1~米 翻转：~1~ 偏转：~1~
HJSTATF	距离：~1~英尺 高度：~1~英尺 翻转：~1~ 偏转：~1~
HJSTATW	距离：~1~.~1~米 高度：~1~.~1~米 翻转：~1~ 偏转：~1~ 接着完美着陆！
HJSTAWF	距离：~1~英尺 高度：~1~英尺 翻转：~1~ 偏转：~1~ 接着完美着陆！
HJ_DIS	双重特技奖金：$~1~
HJ_IS	疯狂特技奖金：$~1~
HJ_PDIS	完美双重特技奖金：$~1~
HJ_PIS	完美疯狂特技奖金：$~1~
HJ_PQIS	完美四重疯狂特技奖金：$~1~
HJ_PTIS	完美三重疯狂特技奖金：$~1~
HJ_QIS	四重疯狂特技奖金：$~1~
HJ_TIS	三重疯狂特技奖金：$~1~
HLPSN_A	狙击枪可以调焦，让你准确地命中目标。
HLPSN_B	手持狙击枪时，按住~h~ ~k~~PED_LOCK_TARGET~~w~~h~瞄准。
HLPSN_C	手持狙击枪时，按住~h~ ~k~~PED_LOCK_TARGET~~w~~h~瞄准。
HLPSN_D	使用狙击枪瞄准时，按下~h~ ~k~~PED_SNIPER_ZOOM_IN~~w~~h~放大~w~，按下~h~ ~k~~PED_SNIPER_ZOOM_OUT~~w~~h~缩小~w~。
HLPSN_E	使用狙击枪瞄准后，按下~h~ ~k~~PED_FIREWEAPON~~w~~h~开火~w~。
HLPSN_F	使用狙击枪瞄准后，按下~h~ ~k~~PED_FIREWEAPON~~w~~h~开火~w~。
HLPSN_G	使用狙击枪瞄准后，按下~h~ ~k~~PED_FIREWEAPON~~w~~h~开火~w~。
HORN	~g~鸣笛。
HORN1	按下~h~~k~~VEHICLE_HORN~~h~鸣笛。
HORN2	按下~h~~k~~VEHICLE_HORN~~h~鸣笛。
HORN3	按下~h~~k~~VEHICLE_HORN~~h~鸣笛。
HOTEL	海景旅馆
HOTRINA	Hotring Racer
HOTRINB	Hotring Racer
HOTRING	Hotring Racer
HOTRNG	HOTRING
HUNTER	Hunter
HYCOBUY	购买海曼公寓花费： $~1~
HYCO_C	按下~h~~k~~PED_ANSWER_PHONE~~w~购入海曼公寓。花费：$~1~
HYCO_L	按下~h~~k~~PED_ANSWER_PHONE~~w~购入海曼公寓。花费：$~1~
HYCO_T	按下~h~~k~~PED_ANSWER_PHONE~~w~购入海曼公寓。花费：$~1~
ICC1_O	你是怎么搞的？
ICEBUY	购买冰淇淋厂花费：$~1~
ICE_1	贩卖数：
ICE_C	按下~h~~k~~PED_ANSWER_PHONE~~w~购入冰淇淋厂。花费：$~1~
ICE_L	按下~h~~k~~PED_ANSWER_PHONE~~w~购入冰淇淋厂。花费：$~1~
ICE_NO	以你目前的势力来看，购买冰淇淋厂是异想天开啊。继续完成主线任务吧。
ICE_T	按下~h~~k~~PED_ANSWER_PHONE~~w~购入冰淇淋厂。花费：$~1~
IDAHO	Idaho
IMPORT1	离开此处，等待载具。
IND_ZON	罪恶都市海滩
INFERNS	Infernus
INGRAM	冲锋枪 Mac
INSTUN	疯狂特技
INTB_1	~g~前往律师事务所。
INT_B	故友重逢
IN_VEH	~g~快回到载具中！
ITBEG	一切就此开始…
JAN	Jan
JOB_1	中道截杀
JOB_2	夫人之死
JOB_3	连环杀戮
JOB_4	机场亡魂
JOB_5	未结之局
JUL	Jul
JUN	Jun
JUNKY	垃圾场
KATANA	武士刀
KAUFCAB	考夫曼出租车公司
KAUFMAN	Kaufman Cab
KENT	KENT PAULS 任务
KENT1	KENT PAUL 任务1
KENT_1	死囚牢房
KGS_EXP	使用的炸药数（kg）
KICK	KICKSTART
KICK1_3	~g~掉下摩托的次数：~1~
KICK1_4	~g~时间惩罚：~1~ 秒
KICK1_9	检查点：
KNIFE	小刀
LANCE_1	老司机！小心驾驶！
LANCE_2	嘿，老伙计，看看你在干啥！
LANCE_3	嘿，你他妈干啥呢？
LANCE_4	我们在干啥子啊？
LANDSTK	Landstalker
LASER	狙击枪 PSG-1
LAW	THE LAWYER MISSIONS
LAW1_1	~g~去拉斐尔时装店购买些新衣服。
LAW4_10	万恶的资本主义！
LAW4_11	斗争到底！
LAW4_12	革命万岁！
LAW4_15	劳动者的权益！
LAW4_6	推翻资本主义!
LAW4_7	杀死资本家！
LAW4_8	战斗到底！
LAW4_9	人民民主专政万岁！
LAW_1	大聚会
LAW_1A	law_1a
LAW_1B	law_1b
LAW_2	后巷争执
LAW_2A	law_2a
LAW_2B	law_2b
LAW_3	怒肛陪审团
LAW_4	暴动
LEGAL	~g~消灭那些社会危害份子！
LG_01	玩家位置
LG_02	艾弗里·卡林顿
LG_03	米奇·贝克
LG_04	南美上校 科尔特斯
LG_05	里卡多·迪亚兹
LG_06	肯特·保罗
LG_07	律师 肯·罗森伯格
LG_08	军火商 菲尔·卡西迪
LG_09	船厂
LG_10	马里布俱乐部
LG_11	翁贝托·罗比那
LG_12	电影厂
LG_13	武装国度
LG_14	波利特大婶
LG_15	五金店
LG_16	住处
LG_17	冰淇淋厂
LG_18	考夫曼出租车公司
LG_19	爱之拳乐队
LG_20	印刷厂
LG_21	资产
LG_22	喷漆店
LG_23	时装店
LG_24	维赛迪宅
LG_25	电话任务
LG_26	Wildstyle电台
LG_27	Flash FM电台
LG_28	KChat电台
LG_29	Fever 105电台
LG_30	VROck电台
LG_31	VCPR电台
LG_32	Espantoso电台
LG_33	Emotion 98.3电台
LG_34	Wave 103电台
LG_35	目的地
LG_36	阳光车行
LG_37	脱衣舞厅
LG_38	目标
LINERUN	Linerunner
LNKVBUY	购买脉景公寓花费：$~1~
LNKV_C	按~h~~k~~PED_ANSWER_PHONE~~w~购入脉景公寓。花费：$~1~
LNKV_L	按~h~~k~~PED_ANSWER_PHONE~~w~购入脉景公寓。花费：$~1~
LNKV_T	按~h~~k~~PED_ANSWER_PHONE~~w~购入脉景公寓。花费：$~1~
LOADCAR	少女祈祷中…(按L1取消)
LOADCOL	载入中…
LOVEFIS	Love Fist
M4	步枪 M4
MACHETE	砍刀
MAFIACR	Mafia Cruiser
MALIBU	马里布俱乐部
MALL1	北角购物中心
MANANA	Manana
MANSION	迪亚兹宅
MAP_LEG	地图图例
MAP_YAH	汤米在此
MAR	Mar
MARQUIS	Marquis
MAVERIC	Maverick
MAY	May
MERC_26	快点！快点！再快点！
MERC_27	小心点儿，汤米，我鼻子上个月刚隆的。
MERC_28	汤米，小心驾驶。
MERC_29	汤米，慢点。
MERC_30	汤米，杀你该杀的人！
MERC_31	汤米，大侠饶命！
MERC_32	这辆车你都搞来了，超棒唉！
MERC_40	太开心了。
MERC_43	Adios（祝平安），宝贝。
MERC_44	你继续努力，懂了吧。
MERC_45	Ciao（拜拜），美女。
MERC_5	车子不错啊，维赛迪先生。
MESA	Mesa Grande
MM_1	停车场大作战
MOB12_A	（（嘿，汤米，我是艾弗里！听着，我快忙疯了。多个（表示——beta
MOB12_B	现在我想让我的一个代表去帮我把货送到Gator Keys那儿。
MOB12_C	我到时候不能去，所以我想派个人保证交易顺利进行。
MOB12_D	你可否帮我把我的代表安全送到那里？
MOB12_E	当然可以啊，艾弗里。你想让我在哪儿接他？
MOB12_F	他刚在建筑工地办完事。我觉得你可以在那儿接他。
MOB12_G	没问题。回头见，艾弗里。
MOB13_A	（（维赛迪？维赛迪！老兄，该死的，你必须帮帮我！beta
MOB13_B	Mr. Moffat? 帮里的事怎么样了？
MOB13_C	该死的，该死！你明白我什么意思吗？
MOB13_D	真是次“不错”的聊天...
MOB13_E	等一下！等一下，维赛迪。汤米，我能叫你汤米吗？
MOB13_F	我们俩都是道上的人，对不对？你肯定对一些交易特别感兴趣，对不对？
MOB13_G	我没时间跟你扯，赶紧切入正题。
MOB13_H	钱。钱就是他妈的正题。
MOB13_I	我又越狱了。不过我恐怕马上就要被追踪的-他们认为这是一个“非常好玩”的游戏！
MOB13_J	我在一个公共电话旁，鸟不拉屎的地方。
MOB13_K	在他们找到我之前赶紧带我离开，然后...然后...喔，再...再...
MOB13_L	喔，我待会可能会很忙...
MOB13_M	别！别在这种情况下跟我扯淡，走点心！没有人会这么...这么干...
MOB13_N	汤米就算我求求你了，打心底里求你...
MOB13_O	我想我有空的时候还是会去你那看看的，看看我能不能看到你...
MOB13_P	老天，他们来了！求你快点！快点！
MOB15_A	（（汤米老兄，我是肯特·保罗。beta
MOB15_B	一些冲着你名声来的小妞们来了马里布乐部。
MOB15_C	你在说些什么玩意？
MOB15_D	小妞。保健师。你知道的。姑娘们，性感的姑娘们，别以为她们会害羞喔。
MOB15_E	你最好亲自过来看看。
MOB16_A	（（汤米，我是保罗。出什么事儿了啊老兄？beta
MOB16_B	保罗，干嘛？
MOB16_C	很搞笑，老兄。但你知道我不会穿那些同性恋的衣服的。
MOB16_D	呃，我只是想打给你看看我是否在你们的电影里扮演了一个角色...
MOB16_E	在英国的时候我可是经常干色情事业的，老兄。
MOB16_F	我可比你更抢手啊，孩子。
MOB16_G	保罗，你能主动来提供“帮助”，我真的是很感谢。我会记住的。
MOB16_H	说真的，在我为你付出这么多以后，不要忘了我这个朋友。
MOB16_I	这正好是我想忘记的...
MOB19_A	汤米，我是肯特·保罗。一些道上的人想要你的命。
MOB19_B	把眼睛擦亮点，小子。记住，别说是我说的。
MOB21_A	汤米，托马斯。我是科尔特斯。Que pasa?（近来如何？）
MOB21_B	越来越好了。你呢，朋友？
MOB21_C	汤米，我可不太好。因为缺乏贫苦群众的支持，我们发动的政变又一次失败了。
MOB21_D	想要完全满足群众，太难了。
MOB21_E	从我回国那时算起，我已经策划了三场革命，四次政变。
MOB21_F	走运的是，我每次都升了职。
MOB21_G	我想问问梅赛德斯的近况。
MOB21_H	OK。她怎么了？
MOB21_I	喔，汤米啊，汤米，我打听到了很多流言…我头好大…
MOB21_J	可能是大家都想看我笑话吧…
MOB21_K	或者说…她觉得自己可以为所欲为…告诉我汤米，这是真的吗？
MOB21_L	告诉我汤米，这是真的吗？
MOB21_M	什么“是真的吗”？
MOB21_N	她真的要去当一个律师？
MOB21_O	喔，汤米，这脸可丢大了！丢大了！我们科尔特斯家族可是豪门贵族…
MOB21_P	我们永远不会让我们的女儿去当律师的！请告诉我这不是真的，我真的不能接受…
MOB21_Q	喔，科尔特斯，我可以向你保证，梅赛德斯不会去当律师的，别再担心这事了。
MOB21_R	谢谢你，汤米。这脸我可丢不起啊…她是我的千金，不是一只寄生虫。你知道的…
MOB21_S	我知道的，科尔特斯。
MOB21_T	那个。汤米，我得先挂了，新任的财务部长来了。
MOB21_U	许多年前，我在一场失败的政变中杀死了他父亲，我得时时刻刻小心了。祝你好运，amigo（朋友）。
MOB22_A	（（汤米，我的朋友，你真的帮了我大忙。beta
MOB22_B	谢谢夸奖，科尔特斯。你打听得怎么样了？
MOB22_C	汤米，我一直在孜孜不倦地工作，为了找出你那场交易失败的真相。
MOB22_D	我向你保证我会找出来，但与此同时，
MOB22_E	请务必接受我手下的人对你为我们做出的工作的尊敬与感谢。
MOB45_A	汤米，我们最好谈谈。
MOB45_B	怎么了，兰斯？
MOB45_C	你啊，兄弟。你不仅没有在分红利的时候照顾我…
MOB45_D	还让我在小弟面前丢面子…我真的忍不了…
MOB45_E	兰斯，不是那样的。你误会了...
MOB45_F	汤米，我不是来给你打杂的…不是你用来跑腿的工具…
MOB45_G	兰斯，别一意孤行，别惹乱子。要是责任在我，揍我一顿好了。
MOB45_H	汤米，我为你做牛做马…可你却把我当个傻瓜！别再这样做了…
MOB45_I	兰斯，我不是那种过河拆桥的小人，OK？
MOB45_J	镇静些。要不是你一直在支持我，我们哪有今天。
MOB45_K	相信我。你听见了吗，听见我说的了吗？
MOB45_L	我听见了，汤米。但我不会一忍再忍了…
MOB45_M	兰斯，别这样乱来。我警告你…
MOB45_N	听到了吗？放轻松，出去散散心，OK？我会再打给你的。
MOB46_A	呦，汤米，我是兰斯！
MOB46_B	怎么？
MOB46_C	喔，能联系上真是太好了！是我，兰斯啊。拜托，老兄，淡定些，听我说。
MOB46_D	我正忙着呢，你要说什么？
MOB46_E	没事。就是想说...你懂我意思，汤米，我们可以动手了。
MOB46_F	就我们两个，没问题的。懂我意思吧？
MOB46_G	总有一天要动手的，要不然死的就是我们俩了，兰斯。
MOB46_H	人在江湖身不由己。谢谢你的来电，我稍后再和你聊。
MOB52_A	嗨，里欧，我们给迪亚兹的货找到了买家了。
MOB52_B	你现在给他打个电话，搞定这笔交易，成不？
MOB52_C	你在哪？
MOB52_D	你还好吧，里欧？你声音听起来不对啊。
MOB52_E	只需要告诉我你在哪。
MOB52_F	操你妈的，你是谁？让里欧接电话！
MOB52_G	里欧现在不在，他让我帮他接电话。
MOB52_H	操你妈！
MOB54_A	（（嗨，汤米！beta
MOB54_B	嗨，梅赛德斯，你在干嘛呢？
MOB54_C	我在罪城之角买了个新公寓。
MOB54_D	- 我想你会找个时间去那里看看的。
MOB54_E	我当然会去的，拜拜。
MOB55_A	（（汤米，是我。
MOB55_B	嗨，梅赛德斯。
MOB55_C	汤米，我觉得好无聊啊，我们去找点乐子吧？
MOB55_D	你这是...什么意思？
MOB55_E	呃，我知道你一直都在忙着打打杀杀，
MOB55_F	但我只是想去找点乐子，所以别忘了我啊，你听见了吗？
MOB56_A	（（汤米，我听说你杀了里卡多·迪亚兹。
MOB56_B	他的公寓“着火”了。
MOB56_C	我想他穿着他那件红色化纤衣服被活活“烧死”了。
MOB56_D	汤米，我以你为傲。我知道你是个真正的男人。
MOB56_E	 他那恶心的裤子玷污了男人们，做你的朋友我感到十分骄傲。
MOB56_F	不，我知道你马上就要忙着看看如何能接管罪城了。
MOB56_G	但，别忘我我这个朋友啊，你听见了吗？
MOB57_A	（（我是梅赛德斯。我不会再爱你了，汤米。
MOB57_B	不会了，真的。因为你不再对梅赛德斯好了。
MOB57_C	因为你不把她当一位女士对待。你不停地忽略我，所以我恨你！
MOB57_D	我要你，现在，立刻，马上，过来见我！
MOB58_A	（（汤米。
MOB58_B	嗨，梅赛德斯。
MOB58_C	嗨，“难缠先生”。我对你真的很生气。
MOB58_D	永远别让我再和Jezz Torrent出去逛街了。
MOB58_E	他是个爱哭鼻子的鼻涕虫。他在半路上突然开始哭他的小狗狗。
MOB58_F	那小狗在他7岁时死了，然后他妈妈因为这个再也没有爱过他。
MOB58_G	而且，汤米，他一个人的时候戴假发穿胸罩！
MOB58_H	我现在火很大！
MOB59_A	（（嗨，汤米，我是梅赛德斯。
MOB59_B	我只想说，我超喜欢那个电影厂的！
MOB59_C	你要是有类似的东西，第一时间告诉我！
MOB59_D	其实...我想说,,,我其实一直想做个女演员。
MOB59_E	我认为我能学到很多演戏技巧。
MOB59_F	真的很有启发性！多谢啦！待会儿见，拜拜。
MOB_01A	小子！我是保罗。有件事要告诉你，但我必须当面和你说。
MOB_01B	我现在正在马里布俱乐部泡妞。
MOB_01C	我估计等着我说完这件事后，你就会欠我一两个人情啦…小子，待会见。
MOB_02A	嘿！汤米在吗？汤米！
MOB_02B	印钞厂这儿出了紧急状况！你最好赶紧回来看看！
MOB_02C	有点儿混乱…全乱套了！不说了，我得赶紧走了。
MOB_03A	（（维赛迪先生？我收到一封满口胡言乱语的签名信。
MOB_03B	信上说你把BJ的车展厅欠的钱全接手了。
MOB_03C	然后BJ突然跑路，因此我就没有选择了。
MOB_03D	我不得不把车展厅所有的商业损失归到你头上。
MOB_03E	在车展厅账户完全解冻前，
MOB_03F	你在罪城街头上闲逛是非常不安全的。
MOB_04A	近来如何啊，伙计？还是我，保罗。
MOB_04B	忘了和你说了，汤米，我们的演唱会需要更多守备人员来提升安保程度。
MOB_04C	附近有一伙飞车党，头儿叫米奇·贝克。叫上他们，肯定能提升演唱会知名度！让演唱会更有摇滚风！
MOB_04D	帮我个忙吧，我送你VIP门票作为报答，如何？
MOB_05A	嗨，我是米奇。你做得太好了，汤米。爱车失而复得的感觉太棒了。
MOB_05B	告诉肯特·保罗，不用再为演唱会的安保操心了。
MOB_05C	我保证。
MOB_05D	你现在别自己惹麻烦就行。
MOB_06A	汤米，逝去的亡灵在谈论你呢，亲爱的。
MOB_06B	它说你可能需要点东西提提神。于是，波利特大婶给你做了点“美味佳肴”喔。
MOB_06C	找个时间来大婶的厨房看看吧，OK，汤米？
MOB_08A	（（（嗨汤米，我觉得你需要一些产业发展上的建议。
MOB_08B	当你把一个企业搞活，你就每周都来这个企业收一下盈利的钱。
MOB_08C	让你的小弟们觉得自己来对地方了，这样他们才会努力提高利润。明白吗？
MOB_08D	喔，肯，我知道如何去运营产业。
MOB_08E	好，好吧，我知道你会运营，我知道，我只是...
MOB_08F	你知道的，我只是...告诉一些你也知道的，我也知道的，这样你才...
MOB_08G	你才能精神点！
MOB_08H	随你便了，肯，随你便...
MOB_09A	嗨，里欧！老子给你找了些活儿干！
MOB_09B	我不是里欧。
MOB_09C	嘿，要是里欧发现你偷了他的电话的话，你就死定了！
MOB_09D	或许里欧已经死了喔？或许，我宰了里欧然后抢走了他的电话...你觉得呢，蠢蛋？
MOB_09E	里欧被你宰了？那你真屌大了！想在老子手下干活吗？
MOB_09F	到小海地的咖啡馆来，我爸开的那家。我们来聊两句。
MOB_10A	（（（汤米！我想让你帮我个忙！
MOB_10B	Steve!电影拍得怎么样了？
MOB_10C	很好，很顺利。我，呃...我们需要拍一个“速度与激情”的场景，但我们的预算不太够。
MOB_10D	我在城里有些车，你知道该干什么吧。
MOB_10E	好吧Steve，我会关注这事的，以后我们再联系。
MOB_11A	近来如何，孩子？我有必要告诉你一些人生经验。
MOB_11B	嗨，艾弗里，怎么了？
MOB_11C	你要是可以站稳不动产的话，势必能在罪城混得风生水起...懂我意思吧？
MOB_11D	我觉得也是...
MOB_11E	我说的都是为你好，借此抓住最佳的商业机遇吧。我以后再联系你。
MOB_11F	再见，艾弗里。
MOB_14A	（（（嗨，汤米，你肯定会爱上我的。
MOB_14B	一个小弟告诉我，罪城特警部门在一个特大的银行里有一个“储钱罐”。
MOB_14C	他们把这些年来收集到的东西都放在里面。
MOB_14D	比如某些“老家伙”被吞掉的退休金啦之类的。
MOB_14E	当然，要是这消息不能帮你拿到那东西的话，
MOB_14F	我想你也许会让一些给我的吧？
MOB_14G	我记着了，保罗，多谢。
MOB_14H	我叫保罗，我来自Kent，在伦敦附近，你个傻逼！
MOB_14I	喔，我的英国地理貌似不是太好。
MOB_16A	汤米，我是保罗，que pasa amigo（近来如何，老兄）？
MOB_16B	又怎么了，保罗？别卖给我什么山寨衣服。
MOB_16C	开玩笑，老兄，我可不碰山寨货。我就是想问问，能不能在电影里给我个角色。
MOB_16D	在英国的时候我可是经常干色情事业的，老兄。我可比你更抢手喔，小子。
MOB_16E	保罗，感谢报名，我记住了。
MOB_16F	说真的，可别忘了我啊，不要忘了我这个朋友。
MOB_16G	这正好是我想要忘记的...
MOB_17A	汤米·维赛迪，最近开心不，大佬先生？我什么都打听到了，你最近真的是混得风生水起啊...
MOB_17B	保罗，你喝醉了。
MOB_17C	没有，你个傻逼，我才没醉！我就喝了几口…爽了几发…不会有大事的。
MOB_17D	不管怎样，可别忽视我！我可不是傻逼。是谁让你发达的？是我啊！
MOB_17F	真的？
MOB_17G	对我客气点！我把你介绍给那些大佬，让你上道。为你做了这么多，你就这么报答老子吗？
MOB_17H	你无视我！我替你做了这么多，你却把我晾在一边儿！你把我当成什么了？棋子而已吗？
MOB_17I	保罗，冷静点。我忙不过来。你别死脑筋。
MOB_17J	我没死脑筋！你以为我是少管所里的小子吗？你这样对我，是成心想找麻烦是吧？！
MOB_17K	汤米…老兄…你是我发财最大的希望了！求你了！别笑话我…
MOB_17L	保罗，去睡一觉吧，真的。
MOB_18A	汤米，我是保罗啊，近来好吗？老兄，我得跟你说件大好事。
MOB_18B	天啊…你小子肯定不会相信我刚刚干得有多爽。
MOB_18C	她好像是个站街小妹吧，在小哈瓦那工作。
MOB_18D	她说她叫作梅赛德斯来着。
MOB_18E	我的天哪，老兄。这骚货你必须试试啊！
MOB_18F	她甚至能够把铅笔的笔芯给吸干！她还说我的技术是她见过最好的！
MOB_18G	赶紧去云雨一番吧。待会儿见。
MOB_20A	汤米，我是保罗。江湖上传来小道消息，说你是个“大刺头儿”。
MOB_20B	有个不知从哪儿突然冒出来的大佬，下了死命令，要做对你不利的事情。
MOB_20C	好了，别怪我没提醒过你。忠言逆耳啊，小子。
MOB_20D	不管怎么样吧，我真的听说有人出钱杀你。
MOB_20E	所以...你自己小心点。可别忘了我，老兄。
MOB_24A	你好，维赛迪先生吗？
MOB_24B	是我。
MOB_24C	我是科尔特斯。你不久前参加过我的派对。
MOB_24D	是，我记得。
MOB_24E	维赛迪先生，你的交易可谓是遭遇飞来横祸…
MOB_24F	我知道。
MOB_24G	实不相瞒，我的手下正在竭尽全力追查元凶了。
MOB_24H	如果你想私下里和我谈谈，就在上次那艘船那儿和我会面吧，好吗？再会了，先生。
MOB_25A	汤米，托马斯，我是科尔特斯。法国政府一直在与我针锋相对。
MOB_25B	混账小人！他们百年以前就在掠夺贫困国家，现在竟然贼喊捉贼！
MOB_25C	现在我亟需你的一臂之力啊，朋友。
MOB_25D	尽快过来吧，汤米，搭把手吧！我真是恨死那些法国鬼子了！
MOB_26A	你好啊，汤米。
MOB_26B	怎么？
MOB_26C	我是贝克。就是想告诉你，演出非常顺利！
MOB_26D	我和兄弟们都非常感谢你，跟你说真的，
MOB_26E	我们敬重你这个朋友！再会吧，祝你好运，孩子！
MOB_29A	你好，是汤米·维赛迪吧？
MOB_29B	是的。
MOB_29C	老子听说你能帮别人解决“害虫”啊。
MOB_29D	或许吧…
MOB_29E	喔，我觉得我们这儿真的是害虫遍地啊。哪里都是海地人。
MOB_29F	老子叫翁贝托·罗比那！尽早在罗比那咖啡馆见我一面吧。
MOB_29G	因为我告诉你啊，那些傻逼海地人这次走得“太远了”。
MOB_29H	测试
MOB_30A	汤米，我是翁贝托·罗比那。
MOB_30B	嘿，咖啡馆生意怎么样了？
MOB_30C	喔，好得让老子难以置信啊！汤米，难以置信啊！店里没有怂狗，只有纯爷们儿和骚妞儿！
MOB_30D	我就是想跟你说，对我们来说，你就是一个真正的古巴汉子！
MOB_30E	你证明了自己的实力！你是个“大屌猛男”！
MOB_30F	谢谢你，翁贝托…出狱后还从来没有人这么夸过我。回头见。
MOB_33A	汤米，我是菲尔，先别急着碎碎念，听我把话说完！
MOB_33B	我在酒吧外面埋了些易爆烈酒制成的炸药，想不想炸几颗来练练手？
MOB_33C	没跟你开玩笑喔，汤米。如果想要大醉一场，或者搞点烟火表演的话，这玩意儿绝对合你胃口。
MOB_33D	就算一眼都没见过，我也非常确信这玩意儿绝对有大用。等你来玩喔，行不？
MOB_34A	汤米啊，跟你一块工作真是很有意思。从越南回来以后我就没这么高兴过了，兄弟。
MOB_34B	如果你需要重火力，尽管开口就是！懂了吗？
MOB_34C	老子从来不会忘记战友的！
MOB_34D	而且，我很确信我能帮到你！明白了吗？
MOB_35A	（（汤米，伤口好得很快，不过我感觉有点有趣。
MOB_35B	我曾经在6个战场上出生入死，甚至连被划伤过都没有，但看看现在！
MOB_35C	独臂菲尔！不过，我给自己弄了一套单手就能拿着的火器，所以，我永远不会成为“空手菲尔”，哈哈哈...
